,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
220,"Medu, Fedu","famrel, G2",0.42025316455696204,0.4860759493670886,0.23544303797468355,0.5602409638554217,1.1525790662650601,0.031168082038134926,1.1686492110282642,0.22834202000281736
221,"Medu, G2","Fedu, famrel",0.39746835443037976,0.38734177215189874,0.23544303797468355,0.5923566878980892,1.5292868739852628,0.08148694119532127,1.5029272151898732,0.5744104093250204
222,"Medu, famrel","Fedu, G2",0.4481012658227848,0.3493670886075949,0.23544303797468355,0.5254237288135594,1.5039302382706954,0.07889120333279925,1.370976491862568,0.6071322876590708
223,"Fedu, G2","Medu, famrel",0.3493670886075949,0.4481012658227848,0.23544303797468355,0.673913043478261,1.5039302382706954,0.07889120333279925,1.6924894514767939,0.5149993724111963
224,"Fedu, famrel","Medu, G2",0.38734177215189874,0.39746835443037976,0.23544303797468355,0.6078431372549019,1.5292868739852628,0.08148694119532127,1.5364556962025315,0.5649160223940283
225,"famrel, G2","Medu, Fedu",0.4860759493670886,0.42025316455696204,0.23544303797468355,0.48437500000000006,1.1525790662650603,0.031168082038134926,1.1243574990410432,0.2575877959637693
226,Medu,"Fedu, G2, famrel",0.5822784810126582,0.28354430379746837,0.23544303797468355,0.4043478260869565,1.4260481366459627,0.07034129145970197,1.2028088330407467,0.7152166829586185
227,Fedu,"Medu, famrel, G2",0.4962025316455696,0.31139240506329113,0.23544303797468355,0.4744897959183674,1.523768043802887,0.0809293382470758,1.310360083568883,0.6822823796401362
228,G2,"Medu, Fedu, famrel",0.6303797468354431,0.3240506329113924,0.23544303797468355,0.37349397590361444,1.1525790662650601,0.031168082038134898,1.0789191820837392,0.3581528943879804
229,famrel,"Medu, Fedu, G2",0.7620253164556962,0.2936708860759494,0.23544303797468355,0.3089700996677741,1.05209646007561,0.011658388078833543,1.0221397273612465,0.20807595515900287
230,"Medu, Fedu, G3",G2,0.25063291139240507,0.6303797468354431,0.25063291139240507,1.0,1.5863453815261044,0.09263900016023072,inf,0.49324324324324315
231,"Medu, Fedu, G2",G3,0.2936708860759494,0.529113924050633,0.25063291139240507,0.853448275862069,1.6129764065335752,0.0952475564813331,3.213104988830975,0.5380326563122261
232,"Medu, G3, G2",Fedu,0.3367088607594937,0.4962025316455696,0.25063291139240507,0.7443609022556391,1.500115083627436,0.08355712225604872,1.9707371556217426,0.5026216362094226
233,"Fedu, G3, G2",Medu,0.28860759493670884,0.5822784810126582,0.25063291139240507,0.868421052631579,1.4914187643020596,0.08258291940394169,3.1746835443037984,0.46317265178475153
234,"Medu, Fedu","G3, G2",0.42025316455696204,0.5215189873417722,0.25063291139240507,0.5963855421686747,1.1435548017311965,0.03146290658548309,1.1854902701681465,0.2165321335627012
235,"Medu, G3","Fedu, G2",0.3367088607594937,0.3493670886075949,0.25063291139240507,0.7443609022556391,2.130598234717228,0.1329979170004807,2.5451228592702906,0.8000231320842008
236,"Medu, G2","Fedu, G3",0.39746835443037976,0.28860759493670884,0.25063291139240507,0.6305732484076433,2.1848809922896413,0.13592052555680179,1.925665648188564,0.9000509294626942
237,"Fedu, G3","Medu, G2",0.28860759493670884,0.39746835443037976,0.25063291139240507,0.868421052631579,2.1848809922896413,0.13592052555680179,4.579240506329115,0.7623207160573708
238,"Fedu, G2","Medu, G3",0.3493670886075949,0.3367088607594937,0.25063291139240507,0.7173913043478262,2.130598234717228,0.1329979170004807,2.347030185004869,0.8155877844593797
239,"G3, G2","Medu, Fedu",0.5215189873417722,0.42025316455696204,0.25063291139240507,0.48058252427184467,1.1435548017311965,0.03146290658548309,1.1161481130959423,0.2623590401368179
