antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
Medu,"G3, G1",0.5822784810126582,0.4050632911392405,0.26582278481012656,0.45652173913043476,1.1270380434782608,0.029963146931581447,1.0946835443037977,0.2698412698412696
G3,"Medu, G1",0.529113924050633,0.2708860759493671,0.26582278481012656,0.5023923444976076,1.854625944640701,0.12249319019387914,1.4652385589094448,0.9785970302099333
G1,"Medu, G3",0.41265822784810124,0.3367088607594937,0.26582278481012656,0.6441717791411042,1.913141750080723,0.1268771030283608,1.864076822348319,0.8126436781609194
"Medu, G2",G3,0.39746835443037976,0.529113924050633,0.3367088607594937,0.8471337579617835,1.6010422698320788,0.12640282006088768,3.0803797468354435,0.6230492196878752
"Medu, G3",G2,0.3367088607594937,0.6303797468354431,0.3367088607594937,1.0,1.5863453815261044,0.12445441435667362,inf,0.5572519083969466
"G2, G3",Medu,0.5215189873417722,0.5822784810126582,0.3367088607594937,0.6456310679611651,1.1088011819333052,0.03303957699086685,1.1787757933067455,0.20507618251979154
Medu,"G2, G3",0.5822784810126582,0.5215189873417722,0.3367088607594937,0.5782608695652174,1.1088011819333052,0.03303957699086685,1.1345426073339422,0.2349054454317612
G2,"Medu, G3",0.6303797468354431,0.3367088607594937,0.3367088607594937,0.5341365461847389,1.5863453815261044,0.12445441435667362,1.4237887385421213,1.0000000000000002
G3,"Medu, G2",0.529113924050633,0.39746835443037976,0.3367088607594937,0.6363636363636364,1.6010422698320788,0.12640282006088768,1.6569620253164556,0.7972350230414748
"G2, Fedu",G1,0.3493670886075949,0.41265822784810124,0.21772151898734177,0.6231884057971014,1.510180492575798,0.0735523153340811,1.5587147030185005,0.5192290290471453
"G2, G1",Fedu,0.41012658227848103,0.4962025316455696,0.21772151898734177,0.5308641975308641,1.069853867472915,0.014215670565614485,1.073884077281812,0.11068968958977941
"Fedu, G1",G2,0.22025316455696203,0.6303797468354431,0.21772151898734177,0.9885057471264367,1.568111526566034,0.07887838487421886,32.15696202531618,0.4646254907882814
G2,"Fedu, G1",0.6303797468354431,0.22025316455696203,0.21772151898734177,0.34538152610441764,1.5681115265660341,0.07887838487421886,1.191147006290285,0.9801688435807582
Fedu,"G2, G1",0.4962025316455696,0.41012658227848103,0.21772151898734177,0.4387755102040816,1.069853867472915,0.014215670565614485,1.0510471806674337,0.12960149585134978
G1,"G2, Fedu",0.41265822784810124,0.3493670886075949,0.21772151898734177,0.5276073619631902,1.5101804925757982,0.0735523153340811,1.3773138254150914,0.5751804330392944
"Fedu, G3",G1,0.28860759493670884,0.41265822784810124,0.21518987341772153,0.7456140350877194,1.8068560972984613,0.09609357474763662,2.3088607594936716,0.6277161398367177
"Fedu, G1",G3,0.22025316455696203,0.529113924050633,0.21518987341772153,0.9770114942528736,1.8465049771764834,0.09865085723441755,20.48354430379749,0.587929717341482
"G3, G1",Fedu,0.4050632911392405,0.4962025316455696,0.21518987341772153,0.53125,1.0706313775510206,0.014196442877743964,1.0747679324894515,0.11088861076345441
Fedu,"G3, G1",0.4962025316455696,0.4050632911392405,0.21518987341772153,0.43367346938775514,1.0706313775510206,0.014196442877743964,1.0505188733036834,0.13094886195684313
G3,"Fedu, G1",0.529113924050633,0.22025316455696203,0.21518987341772153,0.4066985645933014,1.8465049771764832,0.09865085723441755,1.3142507145773785,0.973561037318153
G1,"Fedu, G3",0.41265822784810124,0.28860759493670884,0.21518987341772153,0.5214723926380369,1.8068560972984613,0.09609357474763662,1.4866277182732883,0.7602941176470589
"G2, Fedu",G3,0.3493670886075949,0.529113924050633,0.28860759493670884,0.8260869565217391,1.5612648221343872,0.10375260374939912,2.7075949367088605,0.5525291828793775
"G2, G3",Fedu,0.5215189873417722,0.4962025316455696,0.28860759493670884,0.5533980582524272,1.1152664949474935,0.029828553116487744,1.1280682443588332,0.21600297038893532
"Fedu, G3",G2,0.28860759493670884,0.6303797468354431,0.28860759493670884,1.0,1.5863453815261044,0.10667521230572022,inf,0.5195729537366548
G2,"Fedu, G3",0.6303797468354431,0.28860759493670884,0.28860759493670884,0.4578313253012048,1.5863453815261044,0.10667521230572022,1.3121237693389591,1.0
